literal	kind	file	line
\nWARNING generated successfully [\n	log_info	modules/core/src/test/java/org/apache/ignite/internal/processors/cache/persistence/db/filename/IgniteUidAsConsistentIdMigrationTest.java	633
        0x%04X:    %02X	log_error	modules/core/src/test/java/org/apache/ignite/internal/processors/cache/persistence/wal/memtracker/PageMemoryTracker.java	737
        0x%04X: %02X	log_error	modules/core/src/test/java/org/apache/ignite/internal/processors/cache/persistence/wal/memtracker/PageMemoryTracker.java	743
        0x%04X: %02X %02X	log_error	modules/core/src/test/java/org/apache/ignite/internal/processors/cache/persistence/wal/memtracker/PageMemoryTracker.java	730
     Index name: 	log_error	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/indexreader/IgniteIndexReader.java	1068
    Page %d [prev=%d, next=%d, protected=%b]%s	log_info	modules/core/src/test/java/org/apache/ignite/internal/processors/cache/persistence/pagemem/SegmentedLruPageListTest.java	356
   __________  ________________ 	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/plugin/IgniteLogInfoProviderImpl.java	177
   __________  ________________    ________  _____	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/cdc/CdcMain.java	938
   __________  ________________  ___  __  ____  ______    ___  _______   ___  _______	util_quiet	modules/core/src/main/java/org/apache/ignite/dump/DumpReader.java	228
  ^-- All baseline nodes should be present.	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/WalStateManager.java	324
  ^-- Failure to observe these conditions may cause cache to be stuck in inconsistent state.	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/WalStateManager.java	325
  ^-- Ignite configured to use BinaryMarshaller but keepBinary is false for request	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryManager.java	983
  ^-- Logging by '	util_quiet	modules/core/src/main/java/org/apache/ignite/dump/DumpReader.java	249
  ^-- Logging by '	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/cdc/CdcMain.java	959
  ^-- Logging by '	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/plugin/IgniteLogInfoProviderImpl.java	195
  ^-- Logging to file '	util_quiet	modules/core/src/main/java/org/apache/ignite/dump/DumpReader.java	246
  ^-- Logging to file '	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/cdc/CdcMain.java	956
  ^-- Logging to file '	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/plugin/IgniteLogInfoProviderImpl.java	193
  ^-- Make sure that same type(s) used when adding Object or BinaryObject to cache	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/query/GridQueryProcessor.java	2755
  ^-- No nodes may leave or join cluster while changing WAL mode.	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/WalStateManager.java	323
  ^-- Otherwise, entries will be stored in cache, but not appear as SQL Table rows	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/query/GridQueryProcessor.java	2756
  ^-- Server node need to load definition of data classes. It can be reason of ClassNotFoundException(consider IgniteCache.withKeepBinary to fix)	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryManager.java	985
  ^-- To see **FULL** console log here add -DIGNITE_QUIET=false or "-v" to ignite-cdc.{sh|bat}	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/cdc/CdcMain.java	961
  ^-- To see **FULL** console log here add -DIGNITE_QUIET=false or "-v" to ignite-dump-reader.{sh|bat}	util_quiet	modules/core/src/main/java/org/apache/ignite/dump/DumpReader.java	251
  ^-- To see **FULL** console log here add -DIGNITE_QUIET=false or "-v" to ignite.{sh|bat}	util_quiet	modules/core/src/main/java/org/apache/ignite/internal/plugin/IgniteLogInfoProviderImpl.java	197
  ^-- Value type(s) are specified via CacheConfiguration.indexedTypes or CacheConfiguration.queryEntities	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/query/GridQueryProcessor.java	2751
  ^-- You may need to destroy affected cache if that happens.	util_warn	modules/core/src/main/java/org/apache/ignite/internal/processors/cache/WalStateManager.java	326
 - authentication failed.	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	653
 - connection failed.	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	652
 - invalid arguments.	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	651
 - successful execution.	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	650
 - unexpected error.	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	654
 --cache help	log_info	modules/control-utility/src/main/java/org/apache/ignite/internal/commandline/CommandHandler.java	623
 But the ring has no server with such node id. Denying.	log_warning	modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/ServerImpl.java	6693
 cannot be false when 	exception:IgniteSQLException	modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/sql/GridSqlQueryParser.java	1249
 cannot be false when 	exception:IgniteSQLException	modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/sql/GridSqlQueryParser.java	1268
 cannot be false when composite primary key exists.	exception:IgniteSQLException	modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/sql/GridSqlQueryParser.java	1244
