name	value	type	default	description	file	line
IGNITE_LOG_GRID_NAME	IGNITE_LOG_GRID_NAME	String		If this system property is present Ignite will include grid name into  verbose log	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	156
IGNITE_LOG_INSTANCE_NAME	IGNITE_LOG_INSTANCE_NAME	String		If this system property is present Ignite will include grid name into  verbose log	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	163
IGNITE_RESTART_CODE	IGNITE_RESTART_CODE	String		If this system property is present Ignite will include instance name  into verbose log	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	171
IGNITE_NO_SHUTDOWN_HOOK	IGNITE_NO_SHUTDOWN_HOOK	Integer	"0"	Exit code to pass to loader when Ignite instance is being restarted	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	175
IGNITE_NO_DISCO_ORDER	IGNITE_NO_DISCO_ORDER				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	189
IGNITE_DISCO_FAILED_CLIENT_RECONNECT_DELAY	IGNITE_DISCO_FAILED_CLIENT_RECONNECT_DELAY	Long	DFLT_DISCO_FAILED_CLIENT_RECONNECT_DELAY + " milliseconds"	Reconnect delay in milliseconds for client node that was failed forcible	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	194
IGNITE_UPDATE_NOTIFIER	IGNITE_UPDATE_NOTIFIER		"" + DFLT_UPDATE_NOTIFIER	If this system property is set to false - no checks for new versions will  be performed by Ignite. By default, Ignite periodically checks for the new version and prints out the  message into the log if a new version of Ignite is available for download. Update notifier enabled flag is  a cluster-wide value and determined according to the local setting during the start of the first node in  the cluster. The chosen value will survive the first node shutdown and will override the property value  on all newly joining nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	212
IGNITE_STARVATION_CHECK_INTERVAL	IGNITE_STARVATION_CHECK_INTERVAL	Long	DFLT_PERIODIC_STARVATION_CHECK_FREQ + " milliseconds"	Interval in milliseconds in which Ignite will check thread pool state for starvation.  Zero value will disable checker	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	221
IGNITE_NO_ASCII	IGNITE_NO_ASCII	Long	DFLT_PERIODIC_STARVATION_CHECK_FREQ + " milliseconds"	Interval in milliseconds in which Ignite will check thread pool state for starvation.  Zero value will disable checker	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	228
IGNITE_JETTY_HOST	IGNITE_JETTY_HOST			If this system property is present (any value) - no ASCII logo will be printed	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	234
IGNITE_JETTY_PORT	IGNITE_JETTY_PORT	String		Jetty host for REST processor	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	240
IGNITE_JETTY_LOG_NO_OVERRIDE	IGNITE_JETTY_LOG_NO_OVERRIDE	Integer		Jetty local port for REST processor	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	246
IGNITE_REST_SESSION_TIMEOUT	IGNITE_REST_SESSION_TIMEOUT	Long	DFLT_SES_TIMEOUT + " seconds"	REST session expire time in seconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	251
IGNITE_REST_SECURITY_TOKEN_TIMEOUT	IGNITE_REST_SECURITY_TOKEN_TIMEOUT	Long	DFLT_SES_TIMEOUT + " seconds"	REST session expire time in seconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	256
IGNITE_REST_MAX_TASK_RESULTS	IGNITE_REST_MAX_TASK_RESULTS	Long	DFLT_SES_TOKEN_INVALIDATE_INTERVAL + " seconds"	REST session security token expire time in seconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	264
IGNITE_REST_START_ON_CLIENT	IGNITE_REST_START_ON_CLIENT	Integer	"" + DFLT_MAX_TASK_RESULTS	Maximum count of task results stored on one node in REST processor	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	271
IGNITE_REST_GETALL_AS_ARRAY	IGNITE_REST_GETALL_AS_ARRAY				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	282
IGNITE_NEAR_GET_MAX_REMAPS	IGNITE_NEAR_GET_MAX_REMAPS	Integer	"" + DFLT_MAX_REMAP_CNT	Maximum number of attempts to remap near get to the same primary node.  Remapping may be needed when topology is changed concurrently with get operation	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	292
IGNITE_QUIET	IGNITE_QUIET		"true"	In quiet mode, only warning and errors are printed into the log additionally to a  shortened version of standard output on the start. Note that if you use ignite.{sh|bat} scripts to start  Ignite they start by default in quiet mode. You can supply -v flag to override it	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	305
IGNITE_TROUBLESHOOTING_LOGGER	IGNITE_TROUBLESHOOTING_LOGGER				modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	315
IGNITE_CONSOLE_APPENDER	IGNITE_CONSOLE_APPENDER		"true"	If true (default) and Ignite is launched in verbose mode (see IGNITE_QUIET)  and no console appenders can be found in configuration, then default console appender will be added.  Set this property to false if no appenders should be added	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	326
IGNITE_EXCHANGE_HISTORY_SIZE	IGNITE_EXCHANGE_HISTORY_SIZE		"true"	If true (default) and Ignite is launched in verbose mode (see IGNITE_QUIET)  and no console appenders can be found in configuration, then default console appender will be added.  Set this property to false if no appenders should be added	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	331
IGNITE_EXCHANGE_MERGE_DELAY	IGNITE_EXCHANGE_MERGE_DELAY	Integer	"" + DFLT_EXCHANGE_HISTORY_SIZE	Maximum size for exchange history	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	336
IGNITE_PROG_NAME	IGNITE_PROG_NAME	Long	"" + DFLT_EXCHANGE_MERGE_DELAY	Partition map exchange merge delay in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	342
IGNITE_SUCCESS_FILE	IGNITE_SUCCESS_FILE	String	DFLT_PROG_NAME	Name of command line program	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	351
IGNITE_LOCAL_HOST	IGNITE_LOCAL_HOST	String		Sets a system-wide local IP address or hostname to be  used by Ignite networking components. Once provided, the property overrides all the default local binding  settings for Ignite nodes. Note, that the address can also be changed via  IgniteConfiguration.setLocalHost(String) method. However, this system property has bigger priority and  overrides the settings set via IgniteConfiguration	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	367
IGNITE_DEP_MODE_OVERRIDE	IGNITE_DEPLOYMENT_MODE_OVERRIDE	DeploymentMode		Sets deployment mode configuration parameter. Valid  values for property are: PRIVATE, ISOLATED, SHARED or CONTINUOUS	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	378
IGNITE_MAX_COMPLETED_TX_COUNT	IGNITE_MAX_COMPLETED_TX_COUNT	Integer	"" + DFLT_MAX_COMPLETED_TX_CNT	Size of buffer holding completed transaction versions.  Buffer is used to detect duplicate transaction.  In most cases this value is large enough and does not need to be changed	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	389
IGNITE_SLOW_TX_WARN_TIMEOUT	IGNITE_SLOW_TX_WARN_TIMEOUT	Integer	"" + DFLT_SLOW_TX_WARN_TIMEOUT	Transactions that take more time, than value of this property (in milliseconds),  will be output to warnings. 0 disables warnings on slow transactions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	398
IGNITE_TX_DEADLOCK_DETECTION_MAX_ITERS	IGNITE_TX_DEADLOCK_DETECTION_MAX_ITERS	Integer	"" + DFLT_TX_DEADLOCK_DETECTION_MAX_ITERS	Maximum number of iterations for deadlock detection procedure.  If value of this property is less then or equal to zero then deadlock detection will be disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	407
IGNITE_TX_DEADLOCK_DETECTION_TIMEOUT	IGNITE_TX_DEADLOCK_DETECTION_TIMEOUT	Integer	"" + DFLT_TX_DEADLOCK_DETECTION_MAX_ITERS	Maximum number of iterations for deadlock detection procedure.  If value of this property is less then or equal to zero then deadlock detection will be disabled	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	414
IGNITE_PENDING_TX_TRACKER_ENABLED	IGNITE_PENDING_TX_TRACKER_ENABLED			Enables pending transaction tracker.  Affects impact of IGNITE_DISABLE_WAL_DURING_REBALANCING property:  if this property is set,  WAL anyway won't be disabled during rebalancing triggered by baseline topology change	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	424
IGNITE_OVERRIDE_MCAST_GRP	IGNITE_OVERRIDE_MCAST_GRP			Enables pending transaction tracker.  Affects impact of IGNITE_DISABLE_WAL_DURING_REBALANCING property:  if this property is set,  WAL anyway won't be disabled during rebalancing triggered by baseline topology change	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	432
IGNITE_REFLECTION_CACHE_SIZE	IGNITE_REFLECTION_CACHE_SIZE	String		Overrides multicast group taken from configuration. Used for testing purposes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	439
IGNITE_JOBS_HISTORY_SIZE	IGNITE_JOBS_HISTORY_SIZE	Integer	"" + DFLT_REFLECTION_CACHE_SIZE	Overrides default reflection cache size	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	447
IGNITE_JOBS_METRICS_CONCURRENCY_LEVEL	IGNITE_JOBS_METRICS_CONCURRENCY_LEVEL	Integer	"" + DFLT_JOBS_METRICS_CONCURRENCY_LEVEL	Job metrics processor property defining concurrency level  for structure holding job metrics snapshots	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	460
IGNITE_CONFIG_URL	IGNITE_CONFIG_URL	Integer	"" + DFLT_JOBS_METRICS_CONCURRENCY_LEVEL	Job metrics processor property defining concurrency level  for structure holding job metrics snapshots	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	466
IGNITE_SSH_HOST	IGNITE_SSH_HOST	String		Configuration URL	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	470
IGNITE_ENABLE_EXPERIMENTAL_COMMAND	IGNITE_ENABLE_EXPERIMENTAL_COMMAND	String		SSH host name for visor-started nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	478
IGNITE_SSH_USER_NAME	IGNITE_SSH_USER_NAME	String		SSH user name for visor-started nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	482
IGNITE_PRELOAD_RESEND_TIMEOUT	IGNITE_PRELOAD_RESEND_TIMEOUT	String		SSH user name for visor-started nodes	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	487
IGNITE_DISABLE_HOSTNAME_VERIFIER	IGNITE_DISABLE_HOSTNAME_VERIFIER	Long	"" + DFLT_PRELOAD_RESEND_TIMEOUT	Preload resend timeout for evicted partitions in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	495
IGNITE_MIN_BUFFERED_COMMUNICATION_MSG_CNT	IGNITE_MIN_BUFFERED_COMMUNICATION_MSG_CNT	Integer	"512"	Disables buffered communication if node sends less messages count  than specified by this property	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	506
