name	kind	default	file	line
DFLT_METRICS_HISTORY_SIZE	constant	10000	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	121
DFLT_METRICS_UPDATE_FREQ	constant	2000	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	124
DFLT_NETWORK_TIMEOUT	constant	5000	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	133
DFLT_P2P_MISSED_RESOURCES_CACHE_SIZE	constant	100	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	151
DFLT_DATA_STREAMER_POOL_SIZE	constant	DFLT_PUBLIC_THREAD_CNT	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	166
DFLT_REBALANCE_THREAD_POOL_SIZE	constant	min(4, max(1, AVAILABLE_PROC_CNT / 4))	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	169
DFLT_QUERY_THREAD_POOL_SIZE	constant	DFLT_PUBLIC_THREAD_CNT	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	175
DFLT_BUILD_IDX_THREAD_POOL_SIZE	constant	min(4, max(1, AVAILABLE_PROC_CNT / 4))	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	178
DFLT_SEG_CHK_FREQ	constant	10000	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	202
DFLT_METRICS_LOG_FREQ	constant	60000	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	205
DFLT_SNAPSHOT_THREAD_POOL_SIZE	constant	4	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	220
DFLT_LONG_QRY_WARN_TIMEOUT	constant	SqlConfiguration.DFLT_LONG_QRY_WARN_TIMEOUT	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	254
DFLT_SQL_QUERY_HISTORY_SIZE	constant	SqlConfiguration.DFLT_SQL_QUERY_HISTORY_SIZE	modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	262
setDefaultQueryTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	1125
setMetricsUpdateFrequency	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	1501
setNetworkTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	1556
setNetworkSendRetryCount	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	1638
setRebalanceTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	1716
setSegmentCheckFrequency	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	2059
setClientFailureDetectionTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	2213
setFailureDetectionTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	2240
setSystemWorkerBlockedTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	2265
setMetricsLogFrequency	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	2940
setLongQueryWarningTimeout	setter		modules/core/src/main/java/org/apache/ignite/configuration/IgniteConfiguration.java	3302
DFLT_JOIN_TIMEOUT	constant	0	modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoverySpi.java	247
DFLT_NETWORK_TIMEOUT	constant	5000	modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoverySpi.java	250
DFLT_TOP_HISTORY_SIZE	constant	1000	modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoverySpi.java	256
DFLT_SOCK_TIMEOUT	constant	5000	modules/core/src/main/java/org/apache/ignite/spi/discovery/tcp/TcpDiscoverySpi.java	259
